video_id,title,description,channel_title,channel_id,published_at,thumbnail_url,view_count,like_count,months_since_publish,estimated_views_per_month,tracked_views_growth_per_month
1uwusqnt1kk,📣 Evolution of Threat Modeling | Shift from DevOps to DevSecOps | @Akeyless,"📣 How has threat modeling evolved and how can security help make it easier for developers to implement that practically into their code?

🔴 In this talk hosted by @Akeyless, Maran Gunasekaran, Principal Security Consultant at Practical DevSecOps gives us a rundown of what threat modeling used to mean and how developers can translate threat models into actual threat modeling as code. 

📊 He also offers real-world examples of how security and developers align on threat modeling when shipping code.

✅ Watch the full podcast here: https://www.youtube.com/watch?v=cZPnFwANlCY

🛑 If you liked this video and want to see more from Practical DevSecOps, subscribe to our channel: https://www.youtube.com/c/PracticalDevSecOps

🤔 To learn more, visit our website and explore our courses: https://www.practical-devsecops.com/courses-and-certifications-2/ 

📌About Practical DevSecOps:
Practical DevSecOps ​(a Hysn Technologies Inc company) offers vendor-neutral, practical, and hands-on DevSecOps training and certification programs for IT Professionals. Our online training and certifications are focused on modern areas of information security, including DevOps Security, Cloud-Native Security, Cloud Security & Container security. The certifications are achieved after rigorous tests(12-24 hour exams) of skill and are considered the most valuable in the information security field.
 
For more information, visit: www.practical-devsecops.com or follow us on social media: 
👉🏻 Twitter: @PDevsecops 
👉🏻 LinkedIn: https://www.linkedin.com/company/14504770/
👉🏻 Facebook: https://www.facebook.com/pdevsecops",Practical DevSecOps,UCsmwhUbG2kR8ruSh0ijRE8w,2022-09-19 00:00:00+00:00,https://i.ytimg.com/vi/1uwusqnt1kk/maxresdefault.jpg,2403,20,44.12320328542094,54.46,
BaHtngVVPv0,Breaking AI: Exploiting AI-Generated Code | DevSecOps SG,"In the span of just one hour, Sonya will build a demo app using GitHub Copilot and ChatGPT, and live hack the results, showing how the generated code can be exploited.

In this session, Sonya will:
• Present an overview of AI in software development and common AI security risks;
• Use GenAI tools to build a coffee shop demo app and exploit AI-generated vulnerabilities, including SQL injection, cross-site scripting, directory traversal and more;
• Give you some effective strategies to mitigate and fix the AI-generated vulnerabilities.

About the speaker: 
Sonya Moisset

Staff Security Advocate @ Snyk Speaker Bio. Sonya is a Staff Security Advocate at Snyk and a lifelong traveller passionate about DevSecOps, Cybersecurity, and AI.
She’s a public speaker on the world tech scene. She is also a mentor for women in tech, a top writer for FreeCodeCamp publications, and an active member of the tech community in the UK.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2024-05-29 00:00:00+00:00,https://i.ytimg.com/vi/BaHtngVVPv0/maxresdefault.jpg,200,4,23.81930184804928,8.4,
e9VWiK25DgI,Secure System Architecture and Design | BCS ISSG and DevSecOps SG,"There has been a recent UK government focus on Secure by Design, with the development of mandatory principles and best practice guidance on the activities for use in delivery. To enable secure-by-design practices to scale, there is also a need for architectural thinking techniques and artefacts to enable consistent architectural decisions and clear communication. For skilled and experienced security professionals, there is a need to recognize their value to the industry.
The session will:
• Discuss the foundational design, architecture and engineering concepts
• Provide an overview of architectural thinking for secure design
• Provide an overview (goals, components, challenges) the UK Government
• Show how security professionals with Secure System Architecture and Design experience can receive recognition
This event is for members of the BCS ISSG and DevSecOps interest groups who are security practitioners in the UK.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2024-09-27 00:00:00+00:00,https://i.ytimg.com/vi/e9VWiK25DgI/maxresdefault.jpg,125,4,19.84394250513347,6.3,
8wfa0WTFoFc,"SPA-358 OAG, the new OWASP Application Gateway (Patrick Steger, Gian-Luca Frei, Zühlke, 1 Sep 2021)","SYNOPSIS

Having many services exposed to the internet and letting them properly handle login and authentication is a non-trivial task for developers. Add basic security features like CSRF-prevention to this and you have a handful of work to do.

Enter OWASP Application Gateway (OAG). OAG acts as a reverse proxy for you and is able to handle OpenID Connect. It provides a central and controlled way to secure your application services.

In this talk the OWASP Application Gateway project leads will introduce you to OAG, explain its main features as well demo out-of-the-box usage and customization by integrating it in your own SpringBoot project.

SPEAKER BIOGRAPHIES

Gian-Luca Frei is the initiator and leader of the OWASP Application Gateway project. Besides his open-source contributions, he is a security engineer at Zühlke in Bern. He has in-depth experience with systems with the highest security standards, such as e-banking portals and inter-banking payment protocols. In addition to his professional engagements, Gian-Luca has done research on modern cryptographic protocols for which he has received the ISSS Excellence Award 2019.

Padi Steger loves application security and software development. After more than 20 years in the industry he appreciates every opportunity to get his hands dirty. With OWASP Application Gateway he combines coding and security in what he thinks a pleasant way. He is OWASP Switzerland Chapter Lead and co-project lead of the OWASP Application Gateway. In his professional live he works as a Principal Consultant at Zühlke Engineering in Zürich for selected clients. He is CISSP (certified information systems security professional) und CCSP (certified cloud security professional).",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2021-09-01 00:00:00+00:00,https://i.ytimg.com/vi/8wfa0WTFoFc/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-DoACuAiKAgwIABABGGUgXig-MA8=&rs=AOn4CLCksKFMssub41ESfZDmj3V3JqKNNg,118,2,56.70636550308008,2.08,
9FDnXxZV3tI,Container and Kubernetes: Security is not an afterthought | BCS DevSecOps specialist group,"Please join us as we look at the world of containers, Kubernetes (K8s) and the challenges of developing, deploying and managing secure applications in this environment.
The meeting will begin with an introduction to containers then explain the role of Kubernetes. Having set the scene, the focus will move onto some of the common security challenges.
Matt will explain some strategies for securing containerised applications at the various stages of a DevSecOps pipeline.
Matt will conclude by explaining some best practices for addressing run-time security concerns for containerised applications and Kubernetes environments.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2021-11-02 00:00:00+00:00,https://i.ytimg.com/vi/9FDnXxZV3tI/maxresdefault.jpg,108,1,54.6694045174538,1.98,
JKUiQ5GssaA,What is Threat Modelling and how it supports DevSecOps processes | BCS DevSecOps specialist group,"This meeting will provide a practical introduction to the topic of Threat Modelling, explaining the key elements of this practice, some of the techniques and how its use can help support the concept of ""shift left"". Identifying potential threats and risks is an essential consideration to any development project and growing in its importance, to continue to retain the trust of the various stakeholders for a modern application.
Approaches to threat modelling techniques have existed for some time, but the need to identify and prioritise such issues quickly and effectively is even more important with the increasing use of rapid development processes and automation.
This event will provide an introduction to the topic and then demonstrate through example, how the techniques of threat modelling can be used to alongside other common development and automation technology.
Julian and Arnaud will explain how you can learn these techniques yourself by making use of a free community edition of the IriusRisk software.
There will be plenty of time for questions to allow you to understand how to make use of these important techniques.
Attendance can be in person or remotely via Zoom.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2022-03-30 00:00:00+00:00,https://i.ytimg.com/vi/JKUiQ5GssaA/maxresdefault.jpg,98,0,49.80698151950719,1.97,
Mnp9fhrfg1s,Strategies for Threat Modelling - DevSecOps,"This will include:
• The role of threat modelling in the software development lifecycle and how it supports other DevSecOps processes
• Some common approaches to threat modelling
• Tools and techniques that can help with threat modelling
• How to encourage and support the use of a ""threat modelling mindset""",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2023-04-25 00:00:00+00:00,https://i.ytimg.com/vi/Mnp9fhrfg1s/maxresdefault.jpg,93,1,36.96098562628337,2.52,
wFxHcsPhC5E,Moving to the cloud securely with DevSecOps,"Moving to the Cloud Securely with DevSecOps
Cloud technologies can bring great advantages from commercial savings to resilience, but these benefits can come at a cost if we aren't careful. With products, services, and projects being pushed to the Cloud efforts must be made to use Cloud carefully and in the correct way. From lifting-and-shifting to using Cloud-native resources, we'll talk about:
• DevSecOps - how it is, and how it should be
• Go, Move, Shift - Dealing with project pressures
• Can we move at speed and stay secure?
• Once I'm there, how can I stay safe?",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2023-02-02 00:00:00+00:00,https://i.ytimg.com/vi/wFxHcsPhC5E/maxresdefault.jpg,77,0,39.65503080082136,1.94,
_4aTBjf89rg,No DevSecOps? Plan B: Risk-Driven Application Testing | BCS London Central & North Branches,"Speaker:
Richard Hollis - CEO of Risk Crew

Synopsis:
There are two key facts to understanding today’s threat landscape: First, 84% of all cyber-attacks occur at the application level. Second, the Open Web Application Security Project® (OWASP) list of the top 10 (application security vulnerabilities) has not changed by more than 30% in the last 15 years. Simply stated, year after year, breaches continue to rise because we neglect to incorporate security into the development of our applications.

Development, Security, & Operations (DevSecOps) is the practice of implementing best security practices early and throughout the application’s development life cycle. It should involve practices like segmenting developers, scanning repositories for security vulnerabilities, conducting continuous monitoring, static code analysis and secure code reviews. Unfortunately, very few organisations have the tools, expertise or resources to implement these best practices and the market rewards speed over security. At best, we subject these insecure applications to boilerplate security penetration tests that do not address design and deployment-specific vulnerabilities and attack surfaces.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2023-04-11 00:00:00+00:00,https://i.ytimg.com/vi/_4aTBjf89rg/maxresdefault.jpg,61,4,37.42094455852156,1.63,
M2QImShE55c,DevOps & DevSecOps fundamentals | DevSecOps SG,"This talk aims to provide attendees with an understanding of what existed before DevOps, why it emerged as a methodology and the key foundational principles from a people, process and technology perspective.
It then goes on to describe how and why DevSecOps came to prominence, the myriad of benefits resulting from its adoption, common pitfalls and the ways software security testing might be positioned as part of a DevSecOps toolchain.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2024-01-02 00:00:00+00:00,https://i.ytimg.com/vi/M2QImShE55c/maxresdefault.jpg,56,1,28.681724845995895,1.95,
